English language name                                                            | ISO 639-3 code | ISO 639-2 code | ISO 639-1 code
Braj                                                                             | bra            | bra            |               
Brazilian Sign Language                                                          | bzs            |                |               
Brem                                                                             | buq            |                |               
Breri                                                                            | brq            |                |               
Breton                                                                           | bre            | bre            | br            
Bribri                                                                           | bzd            |                |               
British Sign Language                                                            | bfi            |                |               
Brokkat                                                                          | bro            |                |               
Brokpake                                                                         | sgt            |                |               
Brokskat                                                                         | bkk            |                |               
Brooke's Point Palawano                                                          | plw            |                |               
Broome Pearling Lugger Pidgin                                                    | bpl            |                |               
Brunei Bisaya                                                                    | bsb            |                |               
Brunei                                                                           | kxd            |                |               
Bu                                                                               | jid            |                |               
Bu-Nao Bunu                                                                      | bwx            |                |               
Bua                                                                              | bub            |                |               
Bualkhaw Chin                                                                    | cbl            |                |               
Buamu                                                                            | box            |                |               
Bube                                                                             | bvb            |                |               
Bubi                                                                             | buw            |                |               
Bubia                                                                            | bbx            |                |               
Budeh Stieng                                                                     | stt            |                |               
Budibud                                                                          | btp            |                |               
Budong-Budong                                                                    | bdx            |                |               
Budu                                                                             | buu            |                |               
Budukh                                                                           | bdk            |                |               
Buduma                                                                           | bdm            |                |               
Budza                                                                            | bja            |                |               
Bugan                                                                            | bbh            |                |               
Bugawac                                                                          | buk            |                |               
Bughotu                                                                          | bgt            |                |               
Buginese                                                                         | bug            | bug            |               
Buglere                                                                          | sab            |                |               
Bugun                                                                            | bgg            |                |               
Buhi'non Bikol                                                                   | ubl            |                |               
Buhid                                                                            | bku            |                |               
Buhutu                                                                           | bxh            |                |               
Bukar-Sadung Bidayuh                                                             | sdo            |                |               
Bukat                                                                            | bvk            |                |               
Bukharic                                                                         | bhh            |                |               
Bukit Malay                                                                      | bvu            |                |               
Bukitan                                                                          | bkn            |                |               
Bukiyip                                                                          | ape            |                |               
Buksa                                                                            | tkb            |                |               
Bukusu                                                                           | bxk            |                |               
Bukwen                                                                           | buz            |                |               
Bulgarian Sign Language                                                          | bqn            |                |               
Bulgarian                                                                        | bul            | bul            | bg            
Bulgebi                                                                          | bmp            |                |               
Buli (Ghana)                                                                     | bwu            |                |               
Buli (Indonesia)                                                                 | bzq            |                |               
Bullom So                                                                        | buy            |                |               
Bulo Stieng                                                                      | sti            |                |               
Bulu (Cameroon)                                                                  | bum            |                |               
Bulu (Papua New Guinea)                                                          | bjl            |                |               
Bum                                                                              | bmv            |                |               
Bumaji                                                                           | byp            |                |               
Bumang                                                                           | bvp            |                |               
Bumbita Arapesh                                                                  | aon            |                |               
Bumthangkha                                                                      | kjz            |                |               
Bun                                                                              | buv            |                |               
Buna                                                                             | bvn            |                |               
Bunaba                                                                           | bck            |                |               
Bunak                                                                            | bfn            |                |               
Bunama                                                                           | bdd            |                |               
Bundeli                                                                          | bns            |                |               
Bung                                                                             | bqd            |                |               
Bungain                                                                          | but            |                |               
Bungku                                                                           | bkz            |                |               
Bungu                                                                            | wun            |                |               
Bunoge Dogon                                                                     | dgb            |                |               
Bunun                                                                            | bnn            |                |               
Buol                                                                             | blf            |                |               
Bura-Pabir                                                                       | bwr            |                |               
Burak                                                                            | bys            |                |               
Buraka                                                                           | bkg            |                |               
Burarra                                                                          | bvr            |                |               
Burate                                                                           | bti            |                |               
Burduna                                                                          | bxn            |                |               
Bure                                                                             | bvh            |                |               
Buriat                                                                           | bua            | bua            |               
Burji                                                                            | bji            |                |               
Burmbar                                                                          | vrt            |                |               
Burmese                                                                          | bur            | bur            | my            
Burmeso                                                                          | bzu            |                |               
Buru (Indonesia)                                                                 | mhs            |                |               
Buru (Nigeria)                                                                   | bqw            |                |               
Burui                                                                            | bry            |                |               
Burumakok                                                                        | aip            |                |               
Burun                                                                            | bdi            |                |               
Burunge                                                                          | bds            |                |               
Burushaski                                                                       | bsk            |                |               
Burusu                                                                           | bqr            |                |               
Buruwai                                                                          | asi            |                |               
Busa                                                                             | bqp            |                |               
Busam                                                                            | bxs            |                |               
Busami                                                                           | bsm            |                |               
Busang Kayan                                                                     | bfg            |                |               
Bushi                                                                            | buc            |                |               
Bushoong                                                                         | buf            |                |               
Buso                                                                             | bso            |                |               
Busoa                                                                            | bup            |                |               
Bussa                                                                            | dox            |                |               
Busuu                                                                            | bju            |                |               
Butbut Kalinga                                                                   | kyb            |                |               
Butmas-Tur                                                                       | bnr            |                |               
Butuanon                                                                         | btw            |                |               
Buwal                                                                            | bhs            |                |               
Buyu                                                                             | byi            |                |               
Buyuan Jinuo                                                                     | jiy            |                |               
Bwa                                                                              | bww            |                |               
Bwaidoka                                                                         | bwd            |                |               
Bwanabwana                                                                       | tte            |                |               
Bwatoo                                                                           | bwa            |                |               
Bwe Karen                                                                        | bwe            |                |               
Bwela                                                                            | bwl            |                |               
Bwile                                                                            | bwc            |                |               
Bwisi                                                                            | bwz            |                |               
Byangsi                                                                          | bee            |                |               
Byep                                                                             | mkk            |                |               
Bädi Kanum                                                                       | khd            |                |               
C'lela                                                                           | dri            |                |               
Caac                                                                             | msq            |                |               
Cabiyarí                                                                         | cbb            |                |               
Cabécar                                                                          | cjp            |                |               
Cacaloxtepec Mixtec                                                              | miu            |                |               
Cacgia Roglai                                                                    | roc            |                |               
Cacua                                                                            | cbv            |                |               
Caddo                                                                            | cad            | cad            |               
Cafundo Creole                                                                   | ccd            |                |               
Cahuarano                                                                        | cah            |                |               
Cahuilla                                                                         | chl            |                |               
Cajamarca Quechua                                                                | qvc            |                |               
Cajatambo North Lima Quechua                                                     | qvl            |                |               
Cajonos Zapotec                                                                  | zad            |                |               
Cajun French                                                                     | frc            |                |               
Caka                                                                             | ckx            |                |               
Cakchiquel-Quiché Mixed Language                                                 | ckz            |                |               
Cakfem-Mushere                                                                   | cky            |                |               
Calamian Tagbanwa                                                                | tbk            |                |               
Calderón Highland Quichua                                                        | qud            |                |               
Callawalla                                                                       | caw            |                |               
Caluyanun                                                                        | clu            |                |               
Caló                                                                             | rmq            |                |               
Cameroon Mambila                                                                 | mcu            |                |               
Cameroon Pidgin                                                                  | wes            |                |               
Camling                                                                          | rab            |                |               
Campalagian                                                                      | cml            |                |               
Campidanese Sardinian                                                            | sro            |                |               
Camsá                                                                            | kbh            |                |               
Camtho                                                                           | cmt            |                |               
Candoshi-Shapra                                                                  | cbu            |                |               
Canela                                                                           | ram            |                |               
Cao Lan                                                                          | mlc            |                |               
Cao Miao                                                                         | cov            |                |               
Capanahua                                                                        | kaq            |                |               
Capiznon                                                                         | cps            |                |               
Caquinte                                                                         | cot            |                |               
Car Nicobarese                                                                   | caq            |                |               
Cara                                                                             | cfd            |                |               
Carabayo                                                                         | cby            |                |               
Carapana                                                                         | cbc            |                |               
Caribbean Hindustani                                                             | hns            |                |               
Caribbean Javanese                                                               | jvn            |                |               
Carijona                                                                         | cbd            |                |               
Carolinian                                                                       | cal            |                |               
Carpathian Romani                                                                | rmc            |                |               
Carrier                                                                          | crx            |                |               
Cashibo-Cacataibo                                                                | cbr            |                |               
Cashinahua                                                                       | cbs            |                |               
Casiguran Dumagat Agta                                                           | dgc            |                |               
Casuarina Coast Asmat                                                            | asc            |                |               
Catalan Sign Language                                                            | csc            |                |               
Catalan; Valencian                                                               | cat            | cat            | ca            
Caucasian languages                                                              | cau            | cau            |               
Cavineña                                                                         | cav            |                |               
Cayuga                                                                           | cay            |                |               
Cañar Highland Quichua                                                           | qxr            |                |               
Ca̱hungwa̱rya̱                                                                   | nat            |                |               
Cebaara Senoufo                                                                  | sef            |                |               
Cebuano                                                                          | ceb            | ceb            |               
Celtic languages                                                                 | cel            | cel            |               
Cemuhî                                                                           | cam            |                |               
Cen                                                                              | cen            |                |               
Central American Indian languages                                                | cai            | cai            |               
Central Asmat                                                                    | cns            |                |               
Central Atlas Tamazight                                                          | tzm            |                |               
Central Awyu                                                                     | awu            |                |               
Central Aymara                                                                   | ayr            |                |               
Central Bai                                                                      | bca            |                |               
Central Berawan                                                                  | zbc            |                |               
Central Bikol                                                                    | bcl            |                |               
Central Bontok                                                                   | lbk            |                |               
Central Cagayan Agta                                                             | agt            |                |               
Central Grebo                                                                    | grv            |                |               
Central Hongshuihe Zhuang                                                        | zch            |                |               
Central Huasteca Nahuatl                                                         | nch            |                |               
Central Huishui Hmong                                                            | hmc            |                |               
Central Kanuri                                                                   | knc            |                |               
Central Khmer                                                                    | khm            | khm            | km            
Central Kurdish                                                                  | ckb            |                |               
Central Maewo                                                                    | mwo            |                |               
Central Malay                                                                    | pse            |                |               
Central Masela                                                                   | mxz            |                |               
Central Mashan Hmong                                                             | hmm            |                |               
Central Mazahua                                                                  | maz            |                |               
Central Melanau                                                                  | mel            |                |               
Central Mnong                                                                    | cmo            |                |               
Central Nahuatl                                                                  | nhn            |                |               
Central Nicobarese                                                               | ncb            |                |               
Central Ojibwa                                                                   | ojc            |                |               
Central Okinawan                                                                 | ryu            |                |               
Central Palawano                                                                 | plc            |                |               
Central Pame                                                                     | pbs            |                |               
Central Pashto                                                                   | pst            |                |               
Central Pomo                                                                     | poo            |                |               
Central Puebla Nahuatl                                                           | ncx            |                |               
Central Sama                                                                     | sml            |                |               
Central Siberian Yupik                                                           | ess            |                |               
Central Sierra Miwok                                                             | csm            |                |               
Central Subanen                                                                  | syb            |                |               
Central Tagbanwa                                                                 | tgt            |                |               
Central Tarahumara                                                               | tar            |                |               
Central Tunebo                                                                   | tuf            |                |               
Central Yupik                                                                    | esu            |                |               
Central-Eastern Niger Fulfulde                                                   | fuq            |                |               
Centúúm                                                                          | cet            |                |               
Cerma                                                                            | cme            |                |               
Chabu                                                                            | sbf            |                |               
Chachapoyas Quechua                                                              | quk            |                |               
Chachi                                                                           | cbi            |                |               
Chadian Arabic                                                                   | shu            |                |               
Chadian Sign Language                                                            | cds            |                |               
Chadong                                                                          | cdy            |                |               
Chagatai                                                                         | chg            | chg            |               
Chaima                                                                           | ciy            |                |               
Chak                                                                             | ckh            |                |               
Chakali                                                                          | cli            |                |               
Chakma                                                                           | ccp            |                |               
Chala                                                                            | cll            |                |               
Chaldean Neo-Aramaic                                                             | cld            |                |               
Chalikha                                                                         | tgf            |                |               
Chamacoco                                                                        | ceg            |                |               
Chamalal                                                                         | cji            |                |               
Chamari                                                                          | cdg            |                |               
Chambeali                                                                        | cdh            |                |               
Chambri                                                                          | can            |                |               
Chamic languages                                                                 | cmc            | cmc            |               
Chamicuro                                                                        | ccc            |                |               
Chamorro                                                                         | cha            | cha            | ch            
Chang Naga                                                                       | nbc            |                |               
Changriwa                                                                        | cga            |                |               
Changthang                                                                       | cna            |                |               
Chantyal                                                                         | chx            |                |               
Chara                                                                            | cra            |                |               
Chaudangsi                                                                       | cdn            |                |               
Chaura                                                                           | crv            |                |               
Chavacano                                                                        | cbk            |                |               
Chayahuita                                                                       | cbt            |                |               
Chayuco Mixtec                                                                   | mih            |                |               
Chazumba Mixtec                                                                  | xtb            |                |               
Che                                                                              | ruk            |                |               
Chechen                                                                          | che            | che            | ce            
Cheke Holo                                                                       | mrn            |                |               
Chenapian                                                                        | cjn            |                |               
Chenchu                                                                          | cde            |                |               
Chenoua                                                                          | cnu            |                |               
Chepang                                                                          | cdm            |                |               
Chepya                                                                           | ycp            |                |               
Cherepon                                                                         | cpn            |                |               
Cherokee                                                                         | chr            | chr            |               
Chesu                                                                            | ych            |                |               
Chetco                                                                           | ctc            |                |               
Chewong                                                                          | cwg            |                |               
Cheyenne                                                                         | chy            | chy            |               
Chhattisgarhi                                                                    | hne            |                |               
Chhintange                                                                       | ctn            |                |               
Chhulung                                                                         | cur            |                |               
Chiangmai Sign Language                                                          | csd            |                |               
Chiapanec                                                                        | cip            |                |               
Chibcha                                                                          | chb            | chb            |               
Chicahuaxtla Triqui                                                              | trs            |                |               
Chichewa; Chewa; Nyanja                                                          | nya            | nya            | ny            
Chichicapan Zapotec                                                              | zpv            |                |               
Chichimeca-Jonaz                                                                 | pei            |                |               
Chickasaw                                                                        | cic            |                |               
Chiga                                                                            | cgg            |                |               
Chigmecatitlán Mixtec                                                            | mii            |                |               
Chilcotin                                                                        | clc            |                |               
Chilean Sign Language                                                            | csg            |                |               
Chilisso                                                                         | clh            |                |               
Chiltepec Chinantec                                                              | csa            |                |               
Chimalapa Zoque                                                                  | zoh            |                |               
Chimborazo Highland Quichua                                                      | qug            |                |               
Chimila                                                                          | cbg            |                |               
China Buriat                                                                     | bxu            |                |               
Chinali                                                                          | cih            |                |               
Chinbon Chin                                                                     | cnb            |                |               
Chincha Quechua                                                                  | qxc            |                |               
Chinese Pidgin English                                                           | cpi            |                |               
Chinese Sign Language                                                            | csl            |                |               
Chinese                                                                          | chi            | chi            | zh            
Chinook jargon                                                                   | chn            | chn            |               
Chinook                                                                          | chh            |                |               
Chipaya                                                                          | cap            |                |               
Chipewyan; Dene Suline                                                           | chp            | chp            |               
Chippewa                                                                         | ciw            |                |               
Chiquihuitlán Mazatec                                                            | maq            |                |               
Chiquitano                                                                       | cax            |                |               
Chiquián Ancash Quechua                                                          | qxa            |                |               
Chiripá                                                                          | nhd            |                |               
Chiru                                                                            | cdf            |                |               
Chitkuli Kinnauri                                                                | cik            |                |               
Chittagonian                                                                     | ctg            |                |               
Chitwania Tharu                                                                  | the            |                |               
Choapan Zapotec                                                                  | zpc            |                |               
Chocangacakha                                                                    | cgk            |                |               
Chochotec                                                                        | coz            |                |               
Choctaw                                                                          | cho            | cho            |               
Chodri                                                                           | cdi            |                |               
Chokri Naga                                                                      | nri            |                |               
Chokwe                                                                           | cjk            |                |               
Chol                                                                             | ctu            |                |               
Chong                                                                            | cog            |                |               
Choni                                                                            | cda            |                |               
Chonyi-Dzihana-Kauma                                                             | coh            |                |               
Chopi                                                                            | cce            |                |               
Chortí                                                                           | caa            |                |               
Chothe Naga                                                                      | nct            |                |               
Chrau                                                                            | crw            |                |               
Chru                                                                             | cje            |                |               
Chuanqiandian Cluster Miao                                                       | cqd            |                |               
Chuave                                                                           | cjv            |                |               
Chug                                                                             | cvg            |                |               
Chuj                                                                             | cac            |                |               
Chuka                                                                            | cuh            |                |               
Chukot                                                                           | ckt            |                |               
Chukwa                                                                           | cuw            |                |               
